:START_ID(Executive),jobs,:END_ID(Stock),:TYPE
fc804f8f629994fe821a12d4bc4ad750,董事长/董事,300083,employ_of
0227370c58a15c49cb36f066f46a9351,副董事长/董事,300083,employ_of
04546fbf9968fc60a27c971f725984b1,董事,300083,employ_of
0efdb2027d64771a445fd4e8a05f3e8c,独立董事,300083,employ_of
1bfc7c88ec63c3c02b673d56b6455f09,独立董事,300083,employ_of
d8d6b4f173a89e9a290fd3f37180172c,董事长/董事,600425,employ_of
1cebe6d962a7e7c1147b0d40beb5f34a,董事,600425,employ_of
7f4a82983d1d8aff1d46dfabaad9522c,董事,600425,employ_of
367ecbc039108ce307eaebfb7574a8fc,独立董事,600425,employ_of
463fed01f48f5b980ac40c9e07afb140,独立董事,600425,employ_of
7fe487bcc0e352091a60d4ea03ef26cc,独立董事,600425,employ_of
6ac461d4efce21672687e16c5a92fc57,职工董事,600425,employ_of
84af825f28f101bb2875b975db9141c4,名誉董事长/董事,300129,employ_of
fc200e25446082aa5f834cb83227bd37,董事长/董事,300129,employ_of
a46f3a8f1d317c628124ba6e5856bfa4,副董事长/董事,300129,employ_of
cd0a1b1baf386396797b8cab08a059a0,董事,300129,employ_of
cb2701c0b8a47a42f3fc3bcedb0b908a,董事,300129,employ_of
f0fc20f61bc0c57031d3d96b99b0c34a,董事,300129,employ_of
7a69fdd415adf535a717281dff4fb90c,董事,300129,employ_of
1de5e1fc9527351ae2af63aacc745c00,董事,300129,employ_of
8ecb03c3b1589de293651ea7559ca3ec,独立董事,300129,employ_of
95646d6525eb6ecd5e95a550061d7080,独立董事,300129,employ_of
12aebedb29761ba7c875ea9746c0afc5,独立董事,300129,employ_of
4159207b66dc66af321d5f080da7d233,独立董事,300129,employ_of
0e96d344744a7d3a0c210ffaea387cd2,独立董事,300129,employ_of
623eb148981a7020e5f2e54f784d7c16,董事长/董事,002141,employ_of
f9c7db6b9290105d21397b644115d115,董事,002141,employ_of
811dafca40b263cf9e59d2acf6510f9d,董事,002141,employ_of
e00fe906551f3ebe170cde3cd8ad101b,独立董事,002141,employ_of
c2adc99ce81baf713ae3c1911f21345a,独立董事,002141,employ_of
ace5309b7f9ae5b67cfeedcc51fdc98b,董事长/董事,600075,employ_of
230dffe1606c6953d6a4392c126475b8,董事,600075,employ_of
c9b93e94a2eed1dd903ba19dad9d4427,董事,600075,employ_of
b7e8200baca3b62822021dc4bcf993ec,董事,600075,employ_of
6a8659c842548dd9cb07011e80a76d1c,董事,600075,employ_of
5b63a836b2ec20ae542714b30353d758,董事,600075,employ_of
7c7329a9b85103203a30db80317fe341,独立董事,600075,employ_of
f7f22ea110546e4b1ebfd8792283337a,独立董事,600075,employ_of
6905116db2103660ac5b0e548ed12d12,独立董事,600075,employ_of
267e588d1fbf73e9c95a1e91c5a62fd5,董事长/董事,600976,employ_of
5ae626438c72a33ae17bb15be7e2df11,董事,600976,employ_of
0d8c6dd7f0fad893be6783c7d0ffc09d,董事,600976,employ_of
c3d9011811ab52e0c778076bdd52359f,董事,600976,employ_of
7b8b013f84fcc717a692245c33e30715,董事,600976,employ_of
f138854a411cd8d103bc42d53da6db4b,董事,600976,employ_of
c3ed97980cb8a6a3eb830cc109099e02,独立董事,600976,employ_of
51fecbf6fe975f1fe1f70fa304fad3d1,独立董事,600976,employ_of
